region,x,y
Vinnytska,-142,40
Volynska,-351,265
Luhanska,494,63
Dnipropetrovska,203,-33
Donetska,424,-24
Zhytomyrska,-159,202
Zakarpatska,-481,20
Zaporizka,306,-118
Ivano-Frankivska,-390,31
Kyivska,-29,160
Kirovohradska,72,-13
Avtonomna Respublika Krym,213,-291
Lvivska,-426.0,133.0
Mykolaivska,53,-103
Odeska,-45,-132
Poltavska,173,118
Rivnenska,-243,265
Sumska,190,235
Ternopilska,-323,92
Kharkivska,338,114
Khersonska,168,-166
Khmelnytska,-238,95
Cherkaska,18,55
Chernihivska,56,264
Chernivetska,-315,-19
